chat_id,officer,question,ai_response,date_time,tokens_used
CHAT0029,Officer3,How to file a missing person case?,AI generated response,2026-07-07T15:43:00,348
CHAT0030,Officer64,How to register an FIR?,AI generated response,2026-07-07T16:33:00,356
CHAT0031,Officer40,How to file a missing person case?,AI generated response,2026-07-06T16:39:00,708
CHAT0032,Officer61,Evidence required in cybercrime?,AI generated response,2026-07-04T17:26:00,602
CHAT0033,Officer44,IPC section for theft?,AI generated response,2026-07-01T13:58:00,692
CHAT0034,Officer18,What is the procedure for arrest?,AI generated response,2026-07-06T16:33:00,613
CHAT0035,Officer20,IPC section for theft?,AI generated response,2026-07-05T18:37:00,600
CHAT0036,Officer13,What is the procedure for arrest?,AI generated response,2026-07-05T14:40:00,987
CHAT0037,Officer97,How to file a missing person case?,AI generated response,2026-07-04T17:39:00,610
CHAT0038,Officer22,IPC section for theft?,AI generated response,2026-07-04T14:59:00,1071
CHAT0039,Officer69,How to register an FIR?,AI generated response,2026-07-03T13:42:00,545
CHAT0040,Officer61,How to file a missing person case?,AI generated response,2026-07-06T09:00:00,419
CHAT0041,Officer27,How to file a missing person case?,AI generated response,2026-07-05T09:59:00,576
CHAT0042,Officer83,How to register an FIR?,AI generated response,2026-07-07T13:09:00,183
CHAT0043,Officer66,IPC section for theft?,AI generated response,2026-07-07T11:56:00,717
CHAT0044,Officer1,IPC section for theft?,AI generated response,2026-07-08T12:35:00,299
CHAT0045,Officer77,How to register an FIR?,AI generated response,2026-07-05T16:22:00,1149
CHAT0046,Officer37,How to register an FIR?,AI generated response,2026-07-05T12:05:00,503
CHAT0047,Officer41,What is the procedure for arrest?,AI generated response,2026-07-09T09:29:00,888
CHAT0048,Officer22,Evidence required in cybercrime?,AI generated response,2026-07-04T15:10:00,334
CHAT0049,Officer99,How to register an FIR?,AI generated response,2026-07-05T10:54:00,1133
CHAT0050,Officer32,Evidence required in cybercrime?,AI generated response,2026-07-02T16:41:00,306
CHAT0051,Officer18,Evidence required in cybercrime?,AI generated response,2026-07-04T14:03:00,1099
CHAT0052,Officer1,How to register an FIR?,AI generated response,2026-07-01T11:42:00,230
CHAT0053,Officer56,IPC section for theft?,AI generated response,2026-07-08T13:12:00,852
CHAT0054,Officer61,IPC section for theft?,AI generated response,2026-07-08T10:19:00,338
CHAT0055,Officer25,IPC section for theft?,AI generated response,2026-07-03T15:06:00,796
CHAT0056,Officer53,How to register an FIR?,AI generated response,2026-07-02T18:29:00,809
CHAT0057,Officer27,IPC section for theft?,AI generated response,2026-07-03T13:44:00,1185
CHAT0058,Officer71,Evidence required in cybercrime?,AI generated response,2026-07-08T09:31:00,1166
CHAT0059,Officer3,How to register an FIR?,AI generated response,2026-07-01T13:49:00,762
CHAT0060,Officer20,IPC section for theft?,AI generated response,2026-07-07T14:32:00,873
CHAT0061,Officer62,How to register an FIR?,AI generated response,2026-07-01T17:54:00,441
CHAT0062,Officer38,What is the procedure for arrest?,AI generated response,2026-07-03T13:46:00,208
CHAT0063,Officer43,Evidence required in cybercrime?,AI generated response,2026-07-04T14:21:00,212
CHAT0064,Officer10,What is the procedure for arrest?,AI generated response,2026-07-03T11:03:00,587
CHAT0065,Officer44,Evidence required in cybercrime?,AI generated response,2026-07-06T12:24:00,852
CHAT0066,Officer13,How to register an FIR?,AI generated response,2026-07-08T13:13:00,151
CHAT0067,Officer45,How to register an FIR?,AI generated response,2026-07-08T12:55:00,714
CHAT0068,Officer23,How to file a missing person case?,AI generated response,2026-07-03T09:43:00,274
CHAT0069,Officer13,How to file a missing person case?,AI generated response,2026-07-09T09:04:00,874
CHAT0070,Officer30,What is the procedure for arrest?,AI generated response,2026-07-03T14:30:00,513
CHAT0071,Officer50,IPC section for theft?,AI generated response,2026-07-06T16:28:00,1104
CHAT0072,Officer91,IPC section for theft?,AI generated response,2026-07-06T10:08:00,972
CHAT0073,Officer49,How to register an FIR?,AI generated response,2026-07-03T14:24:00,338
CHAT0074,Officer92,What is the procedure for arrest?,AI generated response,2026-07-07T09:18:00,420
CHAT0075,Officer4,What is the procedure for arrest?,AI generated response,2026-07-01T16:34:00,413
CHAT0076,Officer51,What is the procedure for arrest?,AI generated response,2026-07-05T18:33:00,382
CHAT0077,Officer78,IPC section for theft?,AI generated response,2026-07-09T12:02:00,1063
CHAT0078,Officer1,IPC section for theft?,AI generated response,2026-07-07T09:38:00,850
CHAT0079,Officer73,What is the procedure for arrest?,AI generated response,2026-07-09T17:13:00,692
CHAT0080,Officer17,What is the procedure for arrest?,AI generated response,2026-07-03T09:10:00,172
CHAT0081,Officer43,Evidence required in cybercrime?,AI generated response,2026-07-09T18:19:00,636
CHAT0082,Officer4,How to register an FIR?,AI generated response,2026-07-02T14:26:00,636
CHAT0083,Officer36,IPC section for theft?,AI generated response,2026-07-06T09:43:00,633
CHAT0084,Officer3,How to file a missing person case?,AI generated response,2026-07-06T17:13:00,682
CHAT0085,Officer43,Evidence required in cybercrime?,AI generated response,2026-07-01T17:18:00,387
CHAT0086,Officer36,How to register an FIR?,AI generated response,2026-07-06T09:56:00,201
CHAT0087,Officer77,How to register an FIR?,AI generated response,2026-07-02T09:01:00,184
CHAT0088,Officer26,Evidence required in cybercrime?,AI generated response,2026-07-07T10:40:00,1135
CHAT0089,Officer59,Evidence required in cybercrime?,AI generated response,2026-07-05T09:27:00,1026
CHAT0090,Officer46,How to file a missing person case?,AI generated response,2026-07-03T09:28:00,247
CHAT0091,Officer98,How to file a missing person case?,AI generated response,2026-07-04T13:10:00,863
CHAT0092,Officer55,IPC section for theft?,AI generated response,2026-07-09T17:25:00,833
CHAT0093,Officer94,What is the procedure for arrest?,AI generated response,2026-07-02T09:08:00,404
CHAT0094,Officer39,What is the procedure for arrest?,AI generated response,2026-07-09T12:09:00,1152
CHAT0095,Officer90,How to register an FIR?,AI generated response,2026-07-01T18:40:00,498
CHAT0096,Officer80,IPC section for theft?,AI generated response,2026-07-07T12:45:00,865
CHAT0097,Officer50,How to register an FIR?,AI generated response,2026-07-08T18:13:00,576
CHAT0098,Officer55,How to file a missing person case?,AI generated response,2026-07-07T09:14:00,1127
CHAT0099,Officer19,What is the procedure for arrest?,AI generated response,2026-07-01T17:39:00,870
CHAT0100,Officer26,How to register an FIR?,AI generated response,2026-07-07T11:29:00,810
CHAT0101,Officer70,How to file a missing person case?,AI generated response,2026-07-06T09:52:00,314
CHAT0102,Officer61,How to register an FIR?,AI generated response,2026-07-01T10:54:00,992
CHAT0103,Officer62,IPC section for theft?,AI generated response,2026-07-02T11:34:00,970
CHAT0104,Officer17,Evidence required in cybercrime?,AI generated response,2026-07-09T13:56:00,460
CHAT0105,Officer66,Evidence required in cybercrime?,AI generated response,2026-07-03T16:58:00,780
CHAT0106,Officer11,How to register an FIR?,AI generated response,2026-07-04T12:16:00,1166
CHAT0107,Officer5,IPC section for theft?,AI generated response,2026-07-06T10:57:00,802
CHAT0108,Officer45,What is the procedure for arrest?,AI generated response,2026-07-03T09:43:00,1076
CHAT0109,Officer97,How to file a missing person case?,AI generated response,2026-07-09T18:35:00,275
CHAT0110,Officer77,IPC section for theft?,AI generated response,2026-07-06T12:22:00,552
CHAT0111,Officer37,What is the procedure for arrest?,AI generated response,2026-07-06T17:18:00,435
CHAT0112,Officer16,Evidence required in cybercrime?,AI generated response,2026-07-02T10:03:00,544
CHAT0113,Officer40,What is the procedure for arrest?,AI generated response,2026-07-03T13:43:00,236
CHAT0114,Officer47,IPC section for theft?,AI generated response,2026-07-03T15:01:00,214
CHAT0115,Officer74,How to register an FIR?,AI generated response,2026-07-02T17:29:00,845
CHAT0116,Officer60,What is the procedure for arrest?,AI generated response,2026-07-05T10:39:00,844
CHAT0117,Officer45,How to file a missing person case?,AI generated response,2026-07-04T09:16:00,336
CHAT0118,Officer19,Evidence required in cybercrime?,AI generated response,2026-07-09T14:52:00,479
CHAT0119,Officer86,How to file a missing person case?,AI generated response,2026-07-02T15:35:00,1062
CHAT0120,Officer15,IPC section for theft?,AI generated response,2026-07-05T14:11:00,357
CHAT0121,Officer92,How to file a missing person case?,AI generated response,2026-07-05T10:14:00,935
CHAT0122,Officer44,What is the procedure for arrest?,AI generated response,2026-07-02T18:43:00,1041
CHAT0123,Officer56,How to register an FIR?,AI generated response,2026-07-07T14:37:00,771
CHAT0124,Officer84,How to register an FIR?,AI generated response,2026-07-06T12:57:00,159
CHAT0125,Officer36,What is the procedure for arrest?,AI generated response,2026-07-04T13:47:00,284
CHAT0126,Officer95,IPC section for theft?,AI generated response,2026-07-06T11:32:00,153
CHAT0127,Officer98,How to register an FIR?,AI generated response,2026-07-03T09:55:00,578
CHAT0128,Officer83,Evidence required in cybercrime?,AI generated response,2026-07-09T10:11:00,939
CHAT0129,Officer17,How to file a missing person case?,AI generated response,2026-07-01T17:51:00,368
CHAT0130,Officer79,What is the procedure for arrest?,AI generated response,2026-07-07T18:38:00,935
CHAT0131,Officer50,Evidence required in cybercrime?,AI generated response,2026-07-01T14:10:00,483
CHAT0132,Officer60,How to file a missing person case?,AI generated response,2026-07-08T12:02:00,391
CHAT0133,Officer52,How to file a missing person case?,AI generated response,2026-07-03T17:34:00,789
CHAT0134,Officer14,Evidence required in cybercrime?,AI generated response,2026-07-01T18:48:00,302
CHAT0135,Officer36,How to register an FIR?,AI generated response,2026-07-03T16:29:00,1117
CHAT0136,Officer8,What is the procedure for arrest?,AI generated response,2026-07-06T17:57:00,208
CHAT0137,Officer3,How to file a missing person case?,AI generated response,2026-07-04T11:13:00,567
CHAT0138,Officer76,Evidence required in cybercrime?,AI generated response,2026-07-04T09:31:00,942
CHAT0139,Officer45,How to register an FIR?,AI generated response,2026-07-01T09:11:00,825
CHAT0140,Officer95,Evidence required in cybercrime?,AI generated response,2026-07-01T09:31:00,538
CHAT0141,Officer12,How to file a missing person case?,AI generated response,2026-07-04T18:06:00,828
CHAT0142,Officer92,IPC section for theft?,AI generated response,2026-07-08T11:02:00,394
CHAT0143,Officer15,How to register an FIR?,AI generated response,2026-07-09T14:13:00,1150
CHAT0144,Officer54,What is the procedure for arrest?,AI generated response,2026-07-02T10:31:00,1105
CHAT0145,Officer78,IPC section for theft?,AI generated response,2026-07-04T09:55:00,977
CHAT0146,Officer86,Evidence required in cybercrime?,AI generated response,2026-07-03T17:58:00,856
CHAT0147,Officer71,IPC section for theft?,AI generated response,2026-07-09T17:23:00,580
CHAT0148,Officer59,IPC section for theft?,AI generated response,2026-07-06T11:56:00,1063
CHAT0149,Officer70,How to register an FIR?,AI generated response,2026-07-04T17:34:00,279
CHAT0150,Officer41,How to file a missing person case?,AI generated response,2026-07-03T14:07:00,1178
CHAT0151,Officer25,How to register an FIR?,AI generated response,2026-07-07T11:47:00,1171
CHAT0152,Officer51,IPC section for theft?,AI generated response,2026-07-08T11:09:00,439
CHAT0153,Officer47,How to file a missing person case?,AI generated response,2026-07-01T14:17:00,209
CHAT0154,Officer94,Evidence required in cybercrime?,AI generated response,2026-07-03T09:07:00,744
CHAT0155,Officer89,What is the procedure for arrest?,AI generated response,2026-07-02T12:29:00,892
CHAT0156,Officer74,How to register an FIR?,AI generated response,2026-07-09T18:47:00,1051
CHAT0157,Officer71,How to register an FIR?,AI generated response,2026-07-06T16:08:00,715
CHAT0158,Officer66,Evidence required in cybercrime?,AI generated response,2026-07-08T16:29:00,1116
CHAT0159,Officer53,How to file a missing person case?,AI generated response,2026-07-09T11:05:00,551
CHAT0160,Officer27,What is the procedure for arrest?,AI generated response,2026-07-08T10:06:00,1153
CHAT0161,Officer48,What is the procedure for arrest?,AI generated response,2026-07-01T18:05:00,353
CHAT0162,Officer82,IPC section for theft?,AI generated response,2026-07-05T17:02:00,448
CHAT0163,Officer71,IPC section for theft?,AI generated response,2026-07-05T13:16:00,198
CHAT0164,Officer51,Evidence required in cybercrime?,AI generated response,2026-07-01T17:32:00,690
CHAT0165,Officer54,How to file a missing person case?,AI generated response,2026-07-03T15:54:00,1041
CHAT0166,Officer19,How to register an FIR?,AI generated response,2026-07-08T15:24:00,503
CHAT0167,Officer59,How to file a missing person case?,AI generated response,2026-07-02T18:56:00,341
CHAT0168,Officer33,Evidence required in cybercrime?,AI generated response,2026-07-09T18:14:00,665
CHAT0169,Officer82,Evidence required in cybercrime?,AI generated response,2026-07-04T09:32:00,865
CHAT0170,Officer42,Evidence required in cybercrime?,AI generated response,2026-07-07T13:03:00,380
CHAT0171,Officer81,What is the procedure for arrest?,AI generated response,2026-07-07T15:53:00,1031
CHAT0172,Officer68,IPC section for theft?,AI generated response,2026-07-05T12:35:00,326
CHAT0173,Officer31,Evidence required in cybercrime?,AI generated response,2026-07-09T09:23:00,1024
CHAT0174,Officer20,IPC section for theft?,AI generated response,2026-07-09T11:03:00,744
CHAT0175,Officer46,How to file a missing person case?,AI generated response,2026-07-08T10:43:00,937
CHAT0176,Officer63,What is the procedure for arrest?,AI generated response,2026-07-08T13:09:00,244
CHAT0177,Officer81,What is the procedure for arrest?,AI generated response,2026-07-03T17:35:00,776
CHAT0178,Officer33,Evidence required in cybercrime?,AI generated response,2026-07-07T13:46:00,1014
CHAT0179,Officer26,What is the procedure for arrest?,AI generated response,2026-07-01T18:50:00,262
CHAT0180,Officer45,How to file a missing person case?,AI generated response,2026-07-01T13:56:00,235
CHAT0181,Officer63,Evidence required in cybercrime?,AI generated response,2026-07-03T10:22:00,940
CHAT0182,Officer62,How to register an FIR?,AI generated response,2026-07-01T15:13:00,1038
CHAT0183,Officer97,What is the procedure for arrest?,AI generated response,2026-07-06T14:40:00,754
CHAT0184,Officer100,How to register an FIR?,AI generated response,2026-07-02T16:29:00,851
CHAT0185,Officer14,How to register an FIR?,AI generated response,2026-07-05T10:39:00,995
CHAT0186,Officer22,Evidence required in cybercrime?,AI generated response,2026-07-05T16:08:00,366
CHAT0187,Officer11,What is the procedure for arrest?,AI generated response,2026-07-03T10:36:00,1045
CHAT0188,Officer68,IPC section for theft?,AI generated response,2026-07-09T14:44:00,494
CHAT0189,Officer100,How to register an FIR?,AI generated response,2026-07-01T10:34:00,867
CHAT0190,Officer52,How to register an FIR?,AI generated response,2026-07-07T09:01:00,886
CHAT0191,Officer39,IPC section for theft?,AI generated response,2026-07-02T11:29:00,524
CHAT0192,Officer21,What is the procedure for arrest?,AI generated response,2026-07-03T12:48:00,833
CHAT0193,Officer85,How to register an FIR?,AI generated response,2026-07-04T17:15:00,729
CHAT0194,Officer6,Evidence required in cybercrime?,AI generated response,2026-07-05T10:29:00,811
CHAT0195,Officer59,What is the procedure for arrest?,AI generated response,2026-07-03T15:53:00,867
CHAT0196,Officer71,IPC section for theft?,AI generated response,2026-07-09T13:03:00,642
CHAT0197,Officer99,What is the procedure for arrest?,AI generated response,2026-07-03T14:57:00,503
CHAT0198,Officer43,How to file a missing person case?,AI generated response,2026-07-08T13:57:00,785
CHAT0199,Officer14,How to file a missing person case?,AI generated response,2026-07-03T11:11:00,982
CHAT0200,Officer33,How to file a missing person case?,AI generated response,2026-07-09T16:03:00,709
CHAT0201,Officer97,Evidence required in cybercrime?,AI generated response,2026-07-01T18:11:00,168
CHAT0202,Officer14,What is the procedure for arrest?,AI generated response,2026-07-02T12:59:00,362
CHAT0203,Officer14,IPC section for theft?,AI generated response,2026-07-08T18:21:00,1006
CHAT0204,Officer47,Evidence required in cybercrime?,AI generated response,2026-07-07T11:12:00,902
CHAT0205,Officer5,How to file a missing person case?,AI generated response,2026-07-01T11:01:00,656
CHAT0206,Officer79,Evidence required in cybercrime?,AI generated response,2026-07-08T10:38:00,1069
CHAT0207,Officer96,How to file a missing person case?,AI generated response,2026-07-04T17:27:00,784
CHAT0208,Officer61,How to register an FIR?,AI generated response,2026-07-02T10:22:00,981
CHAT0209,Officer79,Evidence required in cybercrime?,AI generated response,2026-07-04T17:34:00,486
CHAT0210,Officer65,How to file a missing person case?,AI generated response,2026-07-06T09:51:00,933
CHAT0211,Officer64,How to register an FIR?,AI generated response,2026-07-02T15:15:00,544
CHAT0212,Officer25,Evidence required in cybercrime?,AI generated response,2026-07-08T10:13:00,227
CHAT0213,Officer47,How to register an FIR?,AI generated response,2026-07-09T10:35:00,379
CHAT0214,Officer49,Evidence required in cybercrime?,AI generated response,2026-07-01T12:47:00,1040
CHAT0215,Officer46,How to register an FIR?,AI generated response,2026-07-03T12:56:00,941
CHAT0216,Officer30,Evidence required in cybercrime?,AI generated response,2026-07-05T13:48:00,224
CHAT0217,Officer26,What is the procedure for arrest?,AI generated response,2026-07-08T11:07:00,769
CHAT0218,Officer88,How to file a missing person case?,AI generated response,2026-07-08T11:20:00,1040
CHAT0219,Officer13,What is the procedure for arrest?,AI generated response,2026-07-02T17:31:00,294
CHAT0220,Officer65,How to register an FIR?,AI generated response,2026-07-04T14:43:00,701
CHAT0221,Officer35,How to file a missing person case?,AI generated response,2026-07-04T10:59:00,368
CHAT0222,Officer84,Evidence required in cybercrime?,AI generated response,2026-07-05T16:44:00,274
CHAT0223,Officer77,How to file a missing person case?,AI generated response,2026-07-09T09:49:00,1158
CHAT0224,Officer4,How to register an FIR?,AI generated response,2026-07-07T14:04:00,612
CHAT0225,Officer38,What is the procedure for arrest?,AI generated response,2026-07-07T14:49:00,954
CHAT0226,Officer26,Evidence required in cybercrime?,AI generated response,2026-07-07T13:40:00,355
CHAT0227,Officer54,How to register an FIR?,AI generated response,2026-07-08T13:51:00,949
CHAT0228,Officer21,How to register an FIR?,AI generated response,2026-07-03T12:03:00,642
CHAT0229,Officer70,What is the procedure for arrest?,AI generated response,2026-07-06T14:13:00,198
CHAT0230,Officer53,IPC section for theft?,AI generated response,2026-07-07T09:45:00,688
CHAT0231,Officer50,How to file a missing person case?,AI generated response,2026-07-07T09:06:00,1049
CHAT0232,Officer71,How to file a missing person case?,AI generated response,2026-07-03T14:33:00,1063
CHAT0233,Officer48,How to register an FIR?,AI generated response,2026-07-04T12:39:00,706
CHAT0234,Officer36,IPC section for theft?,AI generated response,2026-07-04T13:49:00,828
CHAT0235,Officer31,What is the procedure for arrest?,AI generated response,2026-07-04T14:11:00,377
CHAT0236,Officer89,IPC section for theft?,AI generated response,2026-07-02T11:25:00,444
CHAT0237,Officer2,What is the procedure for arrest?,AI generated response,2026-07-05T09:49:00,964
CHAT0238,Officer77,How to register an FIR?,AI generated response,2026-07-06T13:13:00,669
CHAT0239,Officer91,How to file a missing person case?,AI generated response,2026-07-05T14:59:00,868
CHAT0240,Officer2,IPC section for theft?,AI generated response,2026-07-07T13:08:00,548
CHAT0241,Officer13,IPC section for theft?,AI generated response,2026-07-03T10:20:00,466
CHAT0242,Officer34,How to file a missing person case?,AI generated response,2026-07-09T17:24:00,435
CHAT0243,Officer28,How to file a missing person case?,AI generated response,2026-07-02T14:07:00,1084
CHAT0244,Officer94,What is the procedure for arrest?,AI generated response,2026-07-07T15:48:00,1065
CHAT0245,Officer43,What is the procedure for arrest?,AI generated response,2026-07-09T15:57:00,849
CHAT0246,Officer52,IPC section for theft?,AI generated response,2026-07-05T09:45:00,279
CHAT0247,Officer61,Evidence required in cybercrime?,AI generated response,2026-07-05T12:09:00,416
CHAT0248,Officer10,How to register an FIR?,AI generated response,2026-07-06T18:45:00,239
CHAT0249,Officer33,What is the procedure for arrest?,AI generated response,2026-07-01T13:29:00,401
CHAT0250,Officer66,How to register an FIR?,AI generated response,2026-07-08T18:47:00,800
CHAT0251,Officer86,What is the procedure for arrest?,AI generated response,2026-07-07T09:34:00,286
CHAT0252,Officer79,Evidence required in cybercrime?,AI generated response,2026-07-07T16:58:00,388
CHAT0253,Officer84,Evidence required in cybercrime?,AI generated response,2026-07-02T09:35:00,689
CHAT0254,Officer99,Evidence required in cybercrime?,AI generated response,2026-07-03T16:32:00,747
CHAT0255,Officer100,How to register an FIR?,AI generated response,2026-07-01T11:46:00,828
CHAT0256,Officer74,Evidence required in cybercrime?,AI generated response,2026-07-09T10:45:00,487
CHAT0257,Officer91,IPC section for theft?,AI generated response,2026-07-09T17:32:00,536
CHAT0258,Officer75,What is the procedure for arrest?,AI generated response,2026-07-05T15:34:00,970
CHAT0259,Officer55,How to register an FIR?,AI generated response,2026-07-09T16:03:00,1101
CHAT0260,Officer79,How to file a missing person case?,AI generated response,2026-07-06T11:13:00,536
CHAT0261,Officer29,Evidence required in cybercrime?,AI generated response,2026-07-01T15:16:00,615
CHAT0262,Officer64,How to register an FIR?,AI generated response,2026-07-08T18:10:00,836
CHAT0263,Officer1,IPC section for theft?,AI generated response,2026-07-05T10:27:00,1120
CHAT0264,Officer43,What is the procedure for arrest?,AI generated response,2026-07-01T10:58:00,652
CHAT0265,Officer59,How to register an FIR?,AI generated response,2026-07-05T18:40:00,561
CHAT0266,Officer60,IPC section for theft?,AI generated response,2026-07-07T11:04:00,1047
CHAT0267,Officer84,How to register an FIR?,AI generated response,2026-07-06T14:05:00,1178
CHAT0268,Officer45,IPC section for theft?,AI generated response,2026-07-03T13:30:00,677
CHAT0269,Officer80,Evidence required in cybercrime?,AI generated response,2026-07-04T14:35:00,735
CHAT0270,Officer57,How to file a missing person case?,AI generated response,2026-07-09T15:37:00,1025
CHAT0271,Officer97,How to file a missing person case?,AI generated response,2026-07-07T09:56:00,313
CHAT0272,Officer96,Evidence required in cybercrime?,AI generated response,2026-07-04T09:03:00,367
CHAT0273,Officer56,What is the procedure for arrest?,AI generated response,2026-07-09T17:17:00,647
CHAT0274,Officer46,What is the procedure for arrest?,AI generated response,2026-07-01T14:12:00,489
CHAT0275,Officer75,Evidence required in cybercrime?,AI generated response,2026-07-06T14:01:00,996
CHAT0276,Officer35,How to file a missing person case?,AI generated response,2026-07-08T16:05:00,222
CHAT0277,Officer8,Evidence required in cybercrime?,AI generated response,2026-07-01T15:25:00,597
CHAT0278,Officer91,How to register an FIR?,AI generated response,2026-07-04T18:47:00,860
CHAT0279,Officer10,IPC section for theft?,AI generated response,2026-07-07T13:17:00,283
CHAT0280,Officer28,What is the procedure for arrest?,AI generated response,2026-07-05T11:04:00,611
CHAT0281,Officer96,What is the procedure for arrest?,AI generated response,2026-07-09T10:07:00,463
CHAT0282,Officer52,What is the procedure for arrest?,AI generated response,2026-07-05T13:32:00,926
CHAT0283,Officer76,How to file a missing person case?,AI generated response,2026-07-01T09:11:00,792
CHAT0284,Officer49,Evidence required in cybercrime?,AI generated response,2026-07-08T18:31:00,813
CHAT0285,Officer49,IPC section for theft?,AI generated response,2026-07-04T14:07:00,884
CHAT0286,Officer91,IPC section for theft?,AI generated response,2026-07-09T12:20:00,333
CHAT0287,Officer67,How to file a missing person case?,AI generated response,2026-07-02T16:21:00,595
CHAT0288,Officer76,IPC section for theft?,AI generated response,2026-07-03T13:37:00,219
CHAT0289,Officer20,What is the procedure for arrest?,AI generated response,2026-07-05T09:28:00,763
CHAT0290,Officer64,Evidence required in cybercrime?,AI generated response,2026-07-05T15:23:00,781
CHAT0291,Officer92,IPC section for theft?,AI generated response,2026-07-03T15:59:00,977
CHAT0292,Officer100,How to file a missing person case?,AI generated response,2026-07-04T15:13:00,796
CHAT0293,Officer96,What is the procedure for arrest?,AI generated response,2026-07-05T15:40:00,470
CHAT0294,Officer41,How to file a missing person case?,AI generated response,2026-07-01T11:53:00,498
CHAT0295,Officer80,Evidence required in cybercrime?,AI generated response,2026-07-01T14:45:00,630
CHAT0296,Officer46,What is the procedure for arrest?,AI generated response,2026-07-08T09:50:00,720
CHAT0297,Officer54,IPC section for theft?,AI generated response,2026-07-07T09:10:00,1158
CHAT0298,Officer8,Evidence required in cybercrime?,AI generated response,2026-07-05T13:04:00,634
CHAT0299,Officer96,IPC section for theft?,AI generated response,2026-07-08T09:11:00,1088
CHAT0300,Officer44,IPC section for theft?,AI generated response,2026-07-01T09:09:00,657
CHAT0301,Officer29,Evidence required in cybercrime?,AI generated response,2026-07-02T15:24:00,994
CHAT0302,Officer71,IPC section for theft?,AI generated response,2026-07-02T10:04:00,381
CHAT0303,Officer33,How to file a missing person case?,AI generated response,2026-07-04T17:44:00,1118
CHAT0304,Officer1,How to register an FIR?,AI generated response,2026-07-06T18:31:00,702
CHAT0305,Officer17,How to file a missing person case?,AI generated response,2026-07-01T18:15:00,428
CHAT0306,Officer7,What is the procedure for arrest?,AI generated response,2026-07-06T12:29:00,530
CHAT0307,Officer17,What is the procedure for arrest?,AI generated response,2026-07-07T16:52:00,890
CHAT0308,Officer87,IPC section for theft?,AI generated response,2026-07-09T12:59:00,268
CHAT0309,Officer35,How to register an FIR?,AI generated response,2026-07-03T15:45:00,775
CHAT0310,Officer46,Evidence required in cybercrime?,AI generated response,2026-07-08T13:24:00,204
CHAT0311,Officer62,Evidence required in cybercrime?,AI generated response,2026-07-01T14:17:00,565
CHAT0312,Officer54,Evidence required in cybercrime?,AI generated response,2026-07-07T11:54:00,865
CHAT0313,Officer47,IPC section for theft?,AI generated response,2026-07-09T09:27:00,314
CHAT0314,Officer39,Evidence required in cybercrime?,AI generated response,2026-07-04T12:10:00,1015
CHAT0315,Officer91,What is the procedure for arrest?,AI generated response,2026-07-08T13:49:00,925
CHAT0316,Officer90,What is the procedure for arrest?,AI generated response,2026-07-08T16:45:00,1195
CHAT0317,Officer86,What is the procedure for arrest?,AI generated response,2026-07-03T10:51:00,579
CHAT0318,Officer37,Evidence required in cybercrime?,AI generated response,2026-07-07T12:56:00,1084
